START_STATION,AVG_RIDE_COUNT
Larrabee St & North Ave,399.71
Ashland Ave & Augusta Blvd,396.38
Broadway & Thorndale Ave,391.29
Museum of Science and Industry,388.18
Larrabee St & Oak St,388.17
Southport Ave & Irving Park Rd,381.63
Lake Park Ave & 53rd St,381.00
Clarendon Ave & Leland Ave,377.04
Racine Ave & 18th St,376.50
Financial Pl & Ida B Wells Dr,373.79
Western Ave & Walton St,371.00
Greenview Ave & Diversey Pkwy,369.71
Ashland Ave & Grace St,364.21
Ashland Ave & Wrightwood Ave,364.04
Delano Ct & Roosevelt Rd,362.63
Broadway & Ridge Ave,360.33
Clark St & Bryn Mawr Ave,356.46
Leavitt St & North Ave,356.42
Ellis Ave & 58th St,355.13
Wood St & Chicago Ave,352.58
Clark St & 9th St (AMLI),350.25
Wood St & Taylor St (Temp),350.25
Woodlawn Ave & 55th St,349.83
Throop St & Taylor St,349.42
Loomis St & Jackson Blvd,346.38
Clybourn Ave & Division St,345.17
Benson Ave & Church St,344.50
Lake Park Ave & 56th St,337.71
Winthrop Ave & Lawrence Ave,336.13
Sheridan Rd & Lawrence Ave,327.25
Canal St & Jackson Blvd,325.00
Damen Ave & Charleston St,322.96
Ashland Ave & Grand Ave,313.83
Western Ave & Leland Ave,313.04
Clark St & Montrose Ave,312.58
Ashland Ave & Wellington Ave,310.25
Larrabee St & Menomonee St,307.88
Elston Ave & Cortland St,306.79
Campbell Ave & North Ave,306.25
LaSalle St & Adams St,305.88
Lincoln Ave & Belle Plaine Ave,302.46
Sheridan Rd & Noyes St (NU),299.42
Canal St & Taylor St,298.33
Ellis Ave & 53rd St,297.46
Blue Island Ave & 18th St,294.54
Sedgwick St & Schiller St,294.04
Orleans St & Elm St,289.63
Seeley Ave & Roscoe St,288.96
Wood St & Augusta Blvd,288.25
Humboldt Blvd & Armitage Ave,287.79
Clark St & Ida B Wells Dr,285.38
Ravenswood Ave & Irving Park Rd,283.83
Leavitt St & Armitage Ave,282.33
Logan Blvd & Elston Ave,281.75
Damen Ave & Leland Ave,280.00
Western Ave & Division St,279.08
Sheridan Rd & Loyola Ave,275.00
Elizabeth (May) St & Fulton St,272.04
Emerald Ave & 31st St,271.42
Racine Ave & Congress Pkwy,270.96
Racine Ave & Randolph St,269.00
Damen Ave & Grand Ave,268.50
Racine Ave & Washington Blvd,266.50
Blackstone Ave & Hyde Park Blvd,265.38
Lincoln Ave & Sunnyside Ave,265.13
Chicago Ave & Sheridan Rd,261.92
Lincoln Ave & Waveland Ave,261.21
Damen Ave & Clybourn Ave,259.67
McCormick Place,258.67
Calumet Ave & 33rd St,255.88
California Ave & Cortez St,254.58
Albany Ave & Bloomingdale Ave,251.54
Ashland Ave & Lake St,248.79
Damen Ave & Wellington Ave,247.17
Morgan Ave & 14th Pl,246.83
Western Ave & Fillmore St,246.04
Morgan St & 18th St,244.38
Wolcott (Ravenswood) Ave & Montrose Ave,243.71
Leavitt St & Chicago Ave,238.88
Milwaukee Ave & Rockwell St,237.79
California Ave & North Ave,237.71
Halsted St & Roosevelt Rd,235.88
Stave St & Armitage Ave,235.21
Rhodes Ave & 32nd St,231.88
Lake Park Ave & 35th St,231.54
Kedzie Ave & Palmer Ct,228.92
Calumet Ave & 21st St,226.50
Leavitt St & Division St,222.83
California Ave & Francis Pl (Temp),221.17
Glenwood Ave & Morse Ave,219.63
Wood St & Hubbard St,218.17
Sheridan Rd & Columbia Ave,216.71
Paulina St & 18th St,212.79
California Ave & Division St,207.83
Chicago Ave & Washington St,207.33
Indiana Ave & 31st St,204.63
Leavitt St & Belmont Ave,204.63
Harper Ave & 59th St,202.25
California Ave & Altgeld St,202.00
State St & 35th St,198.46
Wabash Ave & Cermak Rd,195.58
Damen Ave & Foster Ave,195.21
Central Park Ave & Bloomingdale Ave,192.25
Damen Ave & Melrose Ave,192.00
Spaulding Ave & Armitage Ave,191.46
Damen Ave & Madison St,188.04
Winchester Ave & Elston Ave,186.75
Campbell Ave & Fullerton Ave,183.13
Ravenswood Ave & Berteau Ave,178.71
Southport Ave & Clark St,176.08
